name,userId,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,oldrank_1,oldrank_2,oldrank_3
Louise Jones,866,Dances with Wolves (1990),Braveheart (1995),True Lies (1994),Sleepless in Seattle (1993),Clear and Present Danger (1994),While You Were Sleeping (1995),Batman Forever (1995),"Net, The (1995)",Dave (1993),Star Trek: Generations (1994),Leaving Las Vegas (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Dead Man Walking (1995)
Louise Jones,867,Forrest Gump (1994),Fight Club (1999),"Silence of the Lambs, The (1991)","Dark Knight, The (2008)",Braveheart (1995),Life Is Beautiful (La Vita è bella) (1997),Saving Private Ryan (1998),Good Will Hunting (1997),Avatar (2009),"Departed, The (2006)","Shawshank Redemption, The (1994)","Matrix, The (1999)",Déjà Vu (Deja Vu) (2006)
Louise Jones,868,Princess Mononoke (Mononoke-hime) (1997),My Neighbor Totoro (Tonari no Totoro) (1988),Monty Python and the Holy Grail (1975),WALL·E (2008),Aliens (1986),Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Up (2009),Kill Bill: Vol. 1 (2003),Hot Fuzz (2007),Alien (1979),"Black Cat, White Cat (Crna macka, beli macor) (1998)",Delicatessen (1991),"Sting, The (1973)"
Louise Jones,869,"Sixth Sense, The (1999)",Erin Brockovich (2000),"Shawshank Redemption, The (1994)","Matrix, The (1999)",Shakespeare in Love (1998),Schindler's List (1993),Fight Club (1999),"Green Mile, The (1999)",Braveheart (1995),Goodfellas (1990),"Silence of the Lambs, The (1991)",Victor/Victoria (1982),"Poseidon Adventure, The (1972)"
Louise Jones,870,Gladiator (2000),"Matrix, The (1999)","Prestige, The (2006)",V for Vendetta (2006),Ocean's Eleven (2001),Inglourious Basterds (2009),Catch Me If You Can (2002),Casino Royale (2006),Forrest Gump (1994),Django Unchained (2012),"Bourne Identity, The (2002)",Man on Fire (2004),Blood Diamond (2006)
Louise Jones,871,"Abyss, The (1989)",Heat (1995),Serenity (2005),Inside Man (2006),Super 8 (2011),Rain Man (1988),Zodiac (2007),Intouchables (2011),American Gangster (2007),Silver Linings Playbook (2012),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Dead Man Walking (1995),Seven (a.k.a. Se7en) (1995)
Louise Jones,872,"Bourne Identity, The (2002)",Kill Bill: Vol. 2 (2004),Catch Me If You Can (2002),"Sixth Sense, The (1999)",Dumb & Dumber (Dumb and Dumber) (1994),There's Something About Mary (1998),Titanic (1997),"Bourne Supremacy, The (2004)",Star Wars: Episode V - The Empire Strikes Back (1980),Ferris Bueller's Day Off (1986),Citizen Kane (1941),Willy Wonka & the Chocolate Factory (1971),Back to the Future (1985)
Louise Jones,873,"Lord of the Rings: The Return of the King, The (2003)",Schindler's List (1993),Monty Python and the Holy Grail (1975),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Shrek (2001),"Fish Called Wanda, A (1988)","Incredibles, The (2004)",Apocalypse Now (1979),Finding Nemo (2003),Little Miss Sunshine (2006),Wordplay (2006),Ed Wood (1994)
Louise Jones,874,Inception (2010),Forrest Gump (1994),"Matrix, The (1999)",One Flew Over the Cuckoo's Nest (1975),"Usual Suspects, The (1995)",Goodfellas (1990),Shutter Island (2010),Saving Private Ryan (1998),Good Will Hunting (1997),The Martian (2015),"Shawshank Redemption, The (1994)",Schindler's List (1993),"Godfather, The (1972)"
Louise Jones,875,Good Will Hunting (1997),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Reservoir Dogs (1992),Goodfellas (1990),"Truman Show, The (1998)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Big Lebowski, The (1998)",Jurassic Park (1993),"Monsters, Inc. (2001)",Back to the Future (1985),Four Rooms (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Usual Suspects, The (1995)"
Louise Jones,876,Indiana Jones and the Temple of Doom (1984),Gattaca (1997),Ghost in the Shell (Kôkaku kidôtai) (1995),"O Brother, Where Art Thou? (2000)",Contact (1997),Wallace & Gromit: The Wrong Trousers (1993),Reservoir Dogs (1992),Office Space (1999),Snatch (2000),GoldenEye (1995),Braveheart (1995),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Rear Window (1954)
Louise Jones,877,Braveheart (1995),X-Men (2000),Indiana Jones and the Last Crusade (1989),"Bourne Identity, The (2002)",Batman Begins (2005),X2: X-Men United (2003),Terminator 2: Judgment Day (1991),Harry Potter and the Chamber of Secrets (2002),"Princess Bride, The (1987)",Speed (1994),Apollo 13 (1995),Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode VI - Return of the Jedi (1983)
Louise Jones,878,Fight Club (1999),"Big Lebowski, The (1998)","Shawshank Redemption, The (1994)",Apollo 13 (1995),Kill Bill: Vol. 1 (2003),"Silence of the Lambs, The (1991)",Inglourious Basterds (2009),Little Miss Sunshine (2006),Kill Bill: Vol. 2 (2004),"Departed, The (2006)",Office Space (1999),Snatch (2000),Shaun of the Dead (2004)
Louise Jones,879,Juno (2007),Miss Congeniality (2000),How to Lose a Guy in 10 Days (2003),Legally Blonde (2001),"40-Year-Old Virgin, The (2005)",(500) Days of Summer (2009),Ratatouille (2007),Clueless (1995),Harry Potter and the Order of the Phoenix (2007),Little Miss Sunshine (2006),Waterworld (1995),"Wizard of Oz, The (1939)",Fly Away Home (1996)
Louise Jones,880,"Matrix, The (1999)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Dark Knight, The (2008)",American History X (1998),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Eternal Sunshine of the Spotless Mind (2004),"Bourne Identity, The (2002)",Fight Club (1999),Monty Python and the Holy Grail (1975),Batman Begins (2005),Gandhi (1982),"Misérables, Les (1998)","Christmas Story, A (1983)"
Louise Jones,881,"Shawshank Redemption, The (1994)",Apollo 13 (1995),Dead Man Walking (1995),"Silence of the Lambs, The (1991)",American Beauty (1999),Forrest Gump (1994),"Usual Suspects, The (1995)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Dead Poets Society (1989),"English Patient, The (1996)",Sense and Sensibility (1995),Braveheart (1995),Taxi Driver (1976)
Louise Jones,882,"Fugitive, The (1993)",Clear and Present Danger (1994),"Silence of the Lambs, The (1991)","Firm, The (1993)",Stargate (1994),Star Trek: Generations (1994),Seven (a.k.a. Se7en) (1995),Braveheart (1995),"Usual Suspects, The (1995)",Cliffhanger (1993),Get Shorty (1995),Clueless (1995),Taxi Driver (1976)
Louise Jones,883,Memento (2000),Fight Club (1999),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Pulp Fiction (1994),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","Incredibles, The (2004)",Casablanca (1942),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975),Run Lola Run (Lola rennt) (1998),"Monsters, Inc. (2001)","Usual Suspects, The (1995)"
Louise Jones,884,"Fugitive, The (1993)",Jurassic Park (1993),Speed (1994),Forrest Gump (1994),Dances with Wolves (1990),Apollo 13 (1995),Beauty and the Beast (1991),"Silence of the Lambs, The (1991)",Clear and Present Danger (1994),Pulp Fiction (1994),Braveheart (1995),Aladdin (1992),Seven (a.k.a. Se7en) (1995)
Louise Jones,885,Star Wars: Episode IV - A New Hope (1977),Jurassic Park (1993),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Independence Day (a.k.a. ID4) (1996),Terminator 2: Judgment Day (1991),Alien (1979),Indiana Jones and the Last Crusade (1989),Blade Runner (1982),Total Recall (1990),Aliens (1986),Back to the Future (1985),"Rock, The (1996)",Star Wars: Episode V - The Empire Strikes Back (1980)
Louise Jones,886,Dead Poets Society (1989),"Usual Suspects, The (1995)",Apollo 13 (1995),Slumdog Millionaire (2008),E.T. the Extra-Terrestrial (1982),Ferris Bueller's Day Off (1986),Jurassic Park (1993),Airplane! (1980),Up (2009),"Bourne Supremacy, The (2004)",Casino (1995),Braveheart (1995),Dumb & Dumber (Dumb and Dumber) (1994)
Louise Jones,887,"Matrix, The (1999)","Departed, The (2006)",Pulp Fiction (1994),Iron Man (2008),"Monsters, Inc. (2001)","Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)",Forrest Gump (1994),Interstellar (2014),"Bourne Identity, The (2002)","Prestige, The (2006)","Dark Knight, The (2008)","Avengers, The (2012)"
Louise Jones,888,Schindler's List (1993),Casablanca (1942),Apollo 13 (1995),"Godfather: Part II, The (1974)","Lion King, The (1994)","Terminator, The (1984)","Shawshank Redemption, The (1994)","Clockwork Orange, A (1971)",Seven Samurai (Shichinin no samurai) (1954),"Princess Bride, The (1987)",Forrest Gump (1994),Blade Runner (1982),Dances with Wolves (1990)
Louise Jones,889,Mission: Impossible (1996),"Rock, The (1996)",Mr. Holland's Opus (1995),Eraser (1996),"Truth About Cats & Dogs, The (1996)","Nutty Professor, The (1996)",Jerry Maguire (1996),Fargo (1996),Star Trek: First Contact (1996),Father of the Bride Part II (1995),Sabrina (1995),Broken Arrow (1996),Down Periscope (1996)
Louise Jones,890,Braveheart (1995),Die Hard: With a Vengeance (1995),Outbreak (1995),Crimson Tide (1995),Batman Forever (1995),Stargate (1994),Terminator 2: Judgment Day (1991),Interview with the Vampire: The Vampire Chronicles (1994),Schindler's List (1993),Star Trek: Generations (1994),Pulp Fiction (1994),Quiz Show (1994),"Shawshank Redemption, The (1994)"
Louise Jones,891,Schindler's List (1993),"Silence of the Lambs, The (1991)",Beauty and the Beast (1991),Terminator 2: Judgment Day (1991),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Sense and Sensibility (1995),"Little Mermaid, The (1989)",Dead Poets Society (1989),"Clockwork Orange, A (1971)",Titanic (1997),Rabbit-Proof Fence (2002),Fargo (1996),It's a Wonderful Life (1946)
Louise Jones,892,Braveheart (1995),Stargate (1994),Seven (a.k.a. Se7en) (1995),GoldenEye (1995),Waterworld (1995),Jumanji (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Nell (1994),Mr. Holland's Opus (1995),"Usual Suspects, The (1995)",Nixon (1995),Sense and Sensibility (1995),Get Shorty (1995)
Louise Jones,893,Dead Man Walking (1995),Jerry Maguire (1996),"Truth About Cats & Dogs, The (1996)",Executive Decision (1996),Heat (1995),"Time to Kill, A (1996)",Dragonheart (1996),Ransom (1996),Grumpier Old Men (1995),"English Patient, The (1996)",Sense and Sensibility (1995),"Postman, The (Postino, Il) (1994)",Antonia's Line (Antonia) (1995)
Louise Jones,894,Terminator 2: Judgment Day (1991),"Matrix, The (1999)",Saving Private Ryan (1998),Aliens (1986),Batman (1989),Full Metal Jacket (1987),Being John Malkovich (1999),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Mission: Impossible (1996),Stand by Me (1986),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Alien (1979)
Louise Jones,895,Terminator 2: Judgment Day (1991),Die Hard: With a Vengeance (1995),"Rock, The (1996)",Die Hard (1988),True Lies (1994),Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode V - The Empire Strikes Back (1980),GoldenEye (1995),"Terminator, The (1984)",Star Wars: Episode IV - A New Hope (1977),Speed (1994),Jurassic Park (1993),Mission: Impossible (1996)
Louise Jones,896,American Beauty (1999),Harry Potter and the Chamber of Secrets (2002),Harry Potter and the Prisoner of Azkaban (2004),Little Miss Sunshine (2006),Mean Girls (2004),Back to the Future (1985),Four Weddings and a Funeral (1994),"Matrix, The (1999)",Groundhog Day (1993),How to Lose a Guy in 10 Days (2003),"Lion King, The (1994)",Monty Python and the Holy Grail (1975),Shakespeare in Love (1998)
Louise Jones,897,Toy Story (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Fifth Element, The (1997)",Being John Malkovich (1999),Groundhog Day (1993),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Back to the Future (1985),"Sixth Sense, The (1999)",Eternal Sunshine of the Spotless Mind (2004),Pulp Fiction (1994),"Usual Suspects, The (1995)",Wallace & Gromit: The Best of Aardman Animation (1996),Bedknobs and Broomsticks (1971)
Louise Jones,898,WALL·E (2008),Finding Nemo (2003),Slumdog Millionaire (2008),"Monsters, Inc. (2001)","Beautiful Mind, A (2001)",(500) Days of Summer (2009),"Incredibles, The (2004)",Shrek (2001),Love Actually (2003),Inside Out (2015),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Forrest Gump (1994),Groundhog Day (1993)
Louise Jones,899,Eternal Sunshine of the Spotless Mind (2004),Trainspotting (1996),"Shawshank Redemption, The (1994)",Star Wars: Episode IV - A New Hope (1977),"Godfather, The (1972)",Blade Runner (1982),Apocalypse Now (1979),Old Boy (2003),"Green Mile, The (1999)","Departed, The (2006)",Pulp Fiction (1994),Monty Python's Life of Brian (1979),Monty Python and the Holy Grail (1975)
Louise Jones,900,Beauty and the Beast (1991),Aladdin (1992),"Mask, The (1994)","Lion King, The (1994)",Waterworld (1995),Legends of the Fall (1994),French Kiss (1995),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),What's Eating Gilbert Grape (1993),Dumb & Dumber (Dumb and Dumber) (1994),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)",Four Weddings and a Funeral (1994)
Louise Jones,901,Little Miss Sunshine (2006),Tucker & Dale vs Evil (2010),Platoon (1986),"South Park: Bigger, Longer and Uncut (1999)",Pearl Harbor (2001),War of the Worlds (2005),Burn After Reading (2008),Mulholland Drive (2001),Gangs of New York (2002),"Hitchhiker's Guide to the Galaxy, The (2005)",Taxi Driver (1976),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Pulp Fiction (1994)
Louise Jones,902,Eternal Sunshine of the Spotless Mind (2004),"Green Mile, The (1999)","Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Pulp Fiction (1994),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Erin Brockovich (2000),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Contact (1997),"Shining, The (1980)","Few Good Men, A (1992)","Bridges of Madison County, The (1995)","Shawshank Redemption, The (1994)","Piano, The (1993)"
Louise Jones,903,"Monsters, Inc. (2001)","Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Two Towers, The (2002)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Toy Story (1995),Indiana Jones and the Last Crusade (1989),Spider-Man (2002),Gladiator (2000),"Incredibles, The (2004)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),Star Wars: Episode IV - A New Hope (1977),"Lion King, The (1994)",Bringing Up Baby (1938)
Louise Jones,904,Gone Girl (2014),"O Brother, Where Art Thou? (2000)","Royal Tenenbaums, The (2001)",Love Actually (2003),Chicken Run (2000),Fargo (1996),The Martian (2015),Miss Congeniality (2000),"Illusionist, The (2006)",Chocolat (2000),Toy Story (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Seven (a.k.a. Se7en) (1995)
Louise Jones,905,Independence Day (a.k.a. ID4) (1996),Aladdin (1992),Young Frankenstein (1974),"Princess Bride, The (1987)",Forrest Gump (1994),"Blues Brothers, The (1980)",Gladiator (2000),Die Hard: With a Vengeance (1995),"Terminator, The (1984)",Batman (1989),Toy Story (1995),Jumanji (1995),GoldenEye (1995)
Louise Jones,906,Harry Potter and the Prisoner of Azkaban (2004),Thor (2011),"Hobbit: An Unexpected Journey, The (2012)",Batman Begins (2005),"Incredibles, The (2004)",V for Vendetta (2006),Watchmen (2009),"Matrix Revolutions, The (2003)",Thor: The Dark World (2013),Finding Nemo (2003),"Usual Suspects, The (1995)",Jurassic Park (1993),Men in Black (a.k.a. MIB) (1997)
Louise Jones,907,Jurassic Park (1993),Dances with Wolves (1990),"Mask, The (1994)",While You Were Sleeping (1995),"Firm, The (1993)","Fugitive, The (1993)",Ace Ventura: Pet Detective (1994),Speed (1994),Independence Day (a.k.a. ID4) (1996),Clueless (1995),Mr. Holland's Opus (1995),Forrest Gump (1994),"Hunchback of Notre Dame, The (1996)"
Louise Jones,908,"Lord of the Rings: The Two Towers, The (2002)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Braveheart (1995),"Shawshank Redemption, The (1994)","Matrix, The (1999)","Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Fight Club (1999),Forrest Gump (1994),Babe (1995),Aladdin (1992),American History X (1998),American Beauty (1999)
Louise Jones,909,Casablanca (1942),Citizen Kane (1941),"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Psycho (1960),Jaws (1975),Men in Black (a.k.a. MIB) (1997),"Wizard of Oz, The (1939)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Rear Window (1954),Dances with Wolves (1990),Taxi Driver (1976),Ed Wood (1994),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,910,Up (2009),Beauty and the Beast (1991),X2: X-Men United (2003),Ocean's Eleven (2001),How to Train Your Dragon (2010),"Beautiful Mind, A (2001)","Sixth Sense, The (1999)",Shutter Island (2010),Interstellar (2014),Captain America: The Winter Soldier (2014),Interview with the Vampire: The Vampire Chronicles (1994),"Lion King, The (1994)",Farewell My Concubine (Ba wang bie ji) (1993)
Louise Jones,911,"Fugitive, The (1993)","Firm, The (1993)","Silence of the Lambs, The (1991)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Lion King, The (1994)",Die Hard: With a Vengeance (1995),Ace Ventura: Pet Detective (1994),Cliffhanger (1993),"Client, The (1994)",Addams Family Values (1993),Toy Story (1995),Heat (1995),"American President, The (1995)"
Louise Jones,912,Inception (2010),2001: A Space Odyssey (1968),"Sixth Sense, The (1999)",Finding Nemo (2003),Shaun of the Dead (2004),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","Bourne Supremacy, The (2004)",Mission: Impossible (1996),"Clockwork Orange, A (1971)","Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Terminator 2: Judgment Day (1991),"Matrix, The (1999)",Fight Club (1999)
Louise Jones,913,Forrest Gump (1994),Inception (2010),10 Things I Hate About You (1999),(500) Days of Summer (2009),Harry Potter and the Half-Blood Prince (2009),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Harry Potter and the Chamber of Secrets (2002),50 First Dates (2004),"Beautiful Mind, A (2001)",Love Actually (2003),Gattaca (1997),Titanic (1997),"Notebook, The (2004)"
